Industry,Factor,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
Food products (10),Industrial Production Index (Base 2015=100),91.7,91,98.5,110.1,111.7,111.8,112,103.8,105.4,84.5,100.7,78.7,93.5,93.5,100.8,104.9,101.9,116.5,97.6,91.1,113,83.8,96.8,83,101.5,90.2,148.2,103.1,100.9,108.6,90.7,84.2,88.6,84.7,89.2,82.3,86.9,89.9,95.5,93.7,108.7,113.1,96.6,95.8,91.3,95.2,100.5,79.8,90.4,94.7,111.9,104.4,112.3,108.3,107.4,98.6,99.5,99.2,95.2,77,117.1,92.2,116.7,97.1,77.8,93.6,114.4,102.8,96.9
Food products (10),Industrial Turnover Index (Base 2015=100),92,89.8,102,108.9,111.6,106.7,101.2,103.3,104,91.5,100.5,88.5,91.3,91.4,99.9,103.3,99.2,112.5,97.9,93.1,109.1,92.9,100.3,92.6,77.3,79.8,133.6,106.4,106.8,110.4,99.6,98.1,100.2,97.7,99.1,98.3,89.6,90.2,103.2,101.5,114.2,115.3,104.6,104.6,101.4,105.8,108.3,93.1,91.9,93.7,114.8,110,117.7,111.7,114.6,108.1,105.6,108.4,102.6,91.6,109.2,91.4,116.4,102.8,91.7,104,117.3,107.1,106.1
Food products (10),Industrial Production Index (Seasonally Adjusted) (Base 2015=100),97.9,97.2,93.1,102.9,102.9,95.2,109.9,108.5,108,92.6,102.1,88.7,99.4,99.3,96,98.5,93.6,99.5,95.6,94.8,115.9,90.9,97.9,95.2,107.8,95.3,140.9,97.9,92.2,93.4,88.6,87,91.2,90.7,89.9,96.3,92.4,94.8,89.6,90,98.7,98.6,93.8,98.3,94,100.5,101.7,94.6,96.3,99.6,103.9,101.6,101.1,96,103.6,100.1,103,103.6,96.4,92.1,125.1,97,107.3,95.2,69.8,84.5,109.4,103.8,100.4
Food products (10),Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),101.2,99.5,98.3,103.7,103.8,96.9,100.9,104.8,102.4,96.3,100.1,91.8,100.3,101.8,96.7,98.2,91.8,102.3,97,93.9,108,96.6,99.8,97.5,85.3,89.1,128.5,101.9,98.8,100.8,98.1,98.5,99.7,100,98.3,104.5,99.4,101.5,98.1,98,105.8,106.2,101.9,104.3,101.2,106.9,107.9,99.4,102.2,105.8,107.8,107.5,109.3,104.1,110.7,107.2,105.7,108.5,102.4,98.4,121.4,103.4,108.4,101,85.3,98.1,112.3,105.6,106.1
Meat and meat products (101),Industrial Production Index (Base 2015=100),87.9,90.8,100.6,95.4,101.4,96.7,103.6,103.5,103.2,103,102.2,111.8,95.8,94.8,105.2,103.6,105.6,105.3,104.4,102.9,109.5,116.9,110.4,118.9,101.8,107.3,112.6,107.3,112.2,107.7,113.1,113.6,114.7,119.1,116.4,125.3,111.4,104,116.9,109.6,115.3,111.3,114.6,114.5,119.4,123,118,121.4,111.8,103.1,115.1,113.3,115.4,114.3,119.1,114,105.8,123.3,117.6,119,122.3,110.8,116.1,104.8,108.8,113.5,110.2,110.2,115.4
Meat and meat products (101),Industrial Turnover Index (Base 2015=100),94.2,88.7,102,95,101,96.6,86.5,106.8,105.7,104.4,102.6,116.5,97.6,96.9,107.3,100.7,103.6,99.5,103.3,101.8,105.8,112.1,107,117.6,97.4,104,112.5,104.5,109.3,107.1,107.7,113.9,113.3,115.1,110.7,123.8,104.7,98.8,111,106.9,113.1,107,110.5,112.5,118.2,120.2,116.3,126.4,107.9,100.9,112.6,111.7,112.5,111.2,114,112.5,98.9,112.9,113.6,121.1,111,103.4,114,102.5,106.7,107.7,106.8,105.4,108.2
Meat and meat products (101),Industrial Production Index (Seasonally Adjusted) (Base 2015=100),95.4,100.1,99.5,99.8,102.6,99.4,103.1,104.5,97,96.5,101.2,101.5,102.7,105,102,108.9,108.2,105.9,104.2,104.2,105.5,109.9,108.8,109.1,109.6,116.8,110.9,109.2,112.4,111.2,112.4,115.1,110.9,114.2,113.2,117,115.5,113.2,113.4,114.4,115.9,113.8,116.8,115.3,116.2,115.7,116.9,113.6,114.4,112.1,114.2,116.5,115.8,116.4,119.4,115.9,103.9,115.7,115.3,114.6,122.8,118.9,116.7,105.1,111,117.6,109.7,112.1,113
Meat and meat products (101),Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),99.5,98.3,97,100.3,101.8,98,90.1,109.4,99.9,100,102,103.8,102.6,106.7,102.5,106,103.7,102.3,106.1,103.9,101.6,106.9,105.7,104.9,102.2,113.9,111.5,106.5,109.3,110.6,109.8,115.8,110.4,109.1,108.7,111.2,109.1,108.7,107.5,112,113.6,110.4,112.3,114.3,116,113.8,113.8,113.9,111.8,110.9,112.1,114.2,113.5,114.4,115.8,114.3,97.1,106.1,110.6,108.8,114.6,113.5,112.9,105.9,108,110.7,108.6,107.3,106.7
Dairy products (105),Industrial Production Index (Base 2015=100),34,54.9,88.3,124.3,143.6,127.5,131,126.1,113,109.5,91.5,56.3,40.1,60.1,96.5,119.3,131.2,127.8,120.8,113.5,96.2,95.2,84.7,60.7,41.6,52.8,100.7,120.9,131.5,130.8,138,148.7,121.1,121.1,94.6,70.7,48.8,58.6,106.1,126.2,143.8,139,137.5,135.3,131.9,130.8,118.3,86.2,59.4,60.8,115.6,143.4,162.1,148.1,150.6,153.6,147,139.6,109.6,105.8,69,77.3,135.3,143.9,147.6,164.3,153,132.9,145
Dairy products (105),Industrial Turnover Index (Base 2015=100),74.1,71.2,101.5,122.1,139.1,112.8,87.8,107.9,103.7,103.9,94.7,81.2,64.6,65.5,83.1,106,100.5,128.7,105.8,104.3,100.1,106.4,100.6,80,82.3,76,100.6,127.2,139,130.8,137.2,148.3,138.7,127.9,117.8,113.1,74.8,72.2,113.1,131.7,153.2,146.6,138.4,142.8,133.6,132.6,127.2,113.2,76.3,74.2,120.6,135.3,159.5,145.4,157.1,164.5,159.7,156,128.7,119.3,86.3,81.8,123.5,135.4,143.1,159.8,159.1,139.3,152
Dairy products (105),Industrial Production Index (Seasonally Adjusted) (Base 2015=100),93.4,98.1,89.5,100.1,102.2,91.2,103,104,99.8,106.5,108.6,100,98.7,104.1,98.5,95.8,91.8,95.6,92.4,90.8,83.9,89.3,100.1,100.9,100.2,98.5,102.2,99,94,101.1,110,126.2,108.2,112.8,108.7,107.5,107.7,106.4,106.8,106,108.1,110.8,110.2,112.7,117.2,120.9,132.2,120.6,118.6,110.7,115.3,124.4,127.7,120.3,123.9,131.6,130.3,128.7,123.9,138.5,128.4,128.6,134.7,125.4,113.7,136.6,126.7,111.2,126.7
Dairy products (105),Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),110.6,105.3,110,111.5,115.2,97.3,77,94.8,95,95.8,98.3,94.1,97,98.5,90.5,96.1,82.8,112.8,92.8,90.7,91.8,98.3,103.6,91,125.2,116.9,109.6,115.8,115.1,114.8,120,128.5,126.1,117.9,120.1,127.2,115.5,113.5,122.6,121.6,127.8,128.2,120.7,123.2,119.6,122.2,129.4,126.3,119.3,119,130.1,127.1,134.2,125.6,135.9,142.3,141.3,143.3,131.1,133.2,135.8,133.4,132.5,128.6,120.8,137.4,136.9,120.8,133.3
Bakery and farinaceous products (107),Industrial Production Index (Base 2015=100),98.4,93.3,104.4,102.7,101.4,91.2,97.7,99.6,100.3,102.1,102.1,106.6,94.9,98.5,105.9,100.5,97.5,93.9,94,94.2,92,102.8,102,112.5,89.9,92.8,103.4,103.8,102.3,96.7,85,94.4,95.1,109.4,104.1,114.3,96.3,91.8,108.7,108.6,107.9,107,93,100.3,90.3,98,98.3,93.3,82.2,86.5,95.4,89.5,92.1,95,97.4,95.7,93.8,99.1,103.2,105.3,90.6,94,102.1,85.2,90.4,93.4,95.3,93.7,93.7
Bakery and farinaceous products (107),Industrial Turnover Index (Base 2015=100),93.9,90.5,106.9,102.8,100.9,91.7,103.5,98.4,99.1,106.5,101.9,103.9,96.5,98.7,105.9,101.8,97.6,92.4,93.8,93.2,90.1,101.9,101.7,121.1,88.6,92.3,101.6,102,98.8,94.5,82.6,91.2,91.9,104.8,97.8,115.1,98.9,89.1,106.9,108.4,105.1,105.3,91.2,96.6,85.6,94,91.5,88.6,77.5,82,90.9,85.4,91.2,93.1,95.7,94.1,91.6,97.7,100.5,103.6,88.2,91.9,104.5,83.7,89.2,94.2,94.7,93.6,93.7
Bakery and farinaceous products (107),Industrial Production Index (Seasonally Adjusted) (Base 2015=100),104.1,100.5,101,100.4,101.9,93.6,99,100.5,102.5,98.4,99.1,98.1,101.4,105.6,102.5,98.4,97.8,96.8,95.5,94.7,94.5,98.7,98.5,103.8,97.2,99.5,99.9,102.2,102.9,99.5,86.3,94.8,97.9,104.9,100.1,105.7,104.2,98.1,105.2,107.3,109,109.5,93.9,100.6,93,93.6,94,84.9,90.4,92.4,92,88.6,93.7,97.2,97.8,96,96.5,94.8,98.6,97.1,98.9,99.7,98.8,84.5,92.4,95.3,95.3,94.1,96.2
Bakery and farinaceous products (107),Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),99.7,96.6,101.9,99.5,101.5,94.2,104.3,101.4,103.4,102,99.6,95.5,103.4,105.1,101.2,99,97.6,94.4,94.4,95.9,94.7,97.5,99.4,111.3,95.3,97.6,97.4,100,98.6,95.6,83,93.5,97.1,100.4,95.4,106,106.9,93.8,102.5,107.3,104.9,105.5,91.4,98.8,90.4,90.3,89.3,81.7,83.8,86.1,87.2,85.3,91.3,92.4,95.8,95.7,96.6,94.3,97.8,96,95.6,96.5,99.8,84.4,89.5,93,94.6,95,98.4
Beverages (11),Industrial Production Index (Base 2015=100),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Beverages (11),Industrial Turnover Index (Base 2015=100),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Beverages (11),Industrial Production Index (Seasonally Adjusted) (Base 2015=100),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
